review,sentiment
"Having read another review, I thought this movie would actually be good. I do enjoy the ""B"" movies, but this couldn't even be classed as such. The photography is probably the only half-way decent thing in the movie. But the editing left much to be desired. It was very choppy and staccato. Whoever chose the music and sound did a terrible job. The music was awful, specially anything atmospheric or scene setting. If the acting had been better, they could have pulled the movie off. Unfortunately, I've seen better acting in porn flicks. If you want to see a ""B"" vampire movie, check out 'Blood Ties'. You'll be much more entertained.",negative
"Ya know, I have no idea how everybody else's teenage life was, but this does not reflect the folks I knew and hung around with let alone, myself. And just in case if you're wondering..NO..we weren't pristine/clean cut/Pat Boone type teens. (If there was ever such a thing!!!!)<br /><br />Look, I'm NOT saying being a teenager is easy. The better, well actually the BEST teen movie of this time is ""Fast Times at Ridgemont High"". Now those kids I knew and were as realistic as it got back then (and maybe now).<br /><br />This was crap. This was a low rent version of Fast Times and even then it didn't do much for me. It had a few moments, but not enough for me to recommend this, or even claim ""this is how it was for teens back in 1982"". I couldn't relate. The lead girl (girls) did nothing for me and please if they really wanted to keep their virginity, they would have, in which case, this film would not have been made. Pure crap and a bad staple to be left behind as a time-capsule cinema for teens/young adults in the early '80's.",negative
"If this movie was about a fictional character, the movie could stand on its own and be judged objectively. Unfortunately for the viewer, the movie is based on ""facts"" that are shaded very unfairly toward Ruben Carter. Many of the smaller facts were disregarded (Carter was NOT number one contender at the time of the murders, there is no proof at all that he saved a friend from a child molester in his youth), but some of the larger facts, like apparently being robbed of a decision to Joey Giardello because of ""racist"" judges, is inexcusable to those of us who have seen the fight on tape, and completely disrespectful to Giardello. Why Hollywood feels the need to make a hero out of someone who, at best, was in trouble and around trouble much more than any normal person should be (was arrested multiple times for beating women) is strange to me. Ruben Carter was never, by viewing his actions in the 60's and even now, when he refuses to speak to his son, a person that people can look up to. Everyone knows that Jewison can direct, and Washington can act, but why they chose this story as their vehicle is beyond me. Is Hollywood so much in need of a black hero that they need to bend the truth in all of their bio pics to make them believable? (Heres a suggestion How about Denzel playing a movie about himself? Now thats inspirational) Based on all of the inaccuracies in the movie, I would suggest passing on this one.",negative
"I approach films about talking animals with care. For every wonderful one like Babe, you get an equally poor one like the dreadful remake of Homeward Bound: The Incredible Journey. Or in the case of Cats & Dogs, you have a great idea for a film not living up to its potential. When I heard about Paulie, the premise of a wisecracking parrot didn't exactly fill me with confidence. But I found the film a pleasant surprise. And it manages to sneak its way into your heart without you realising.<br /><br />A Russian janitor, Misha Vilyenkov (Tony Shaloub) gets a job in a research laboratory. One day, he hears singing coming from the basement. And when he investigates, he finds a parrot in its cage singing its little heart out. Misha becomes fascinated with the bird, especially when it turns out the parrot can not only sing, it can talk. And not a few phrases either. Its a parrot you can actually make conversation with.<br /><br />The parrot is called Paulie (voiced by Jay Mohr), and recognises a fellow castaway in Misha. Wondering how this world to the wise bird ended up in a dusty basement, Misha convinces Paulie to tell him his life story. Which all began when he was a baby, and in the care of Marie, a five year old girl with a stutter. The two of them became birds of a feather (OK, bad pun!).<br /><br />When Marie's parents became concerned about her close friendship with a bird, they considered sending him away. And they finally did after Marie nearly injured herself in a fall after teaching Paulie to fly. Desperate to be reunited with her, Paulie begins a long journey across America, which includes a diverse number of new owners, flying great distances, and even ending up behind bars. Of a cage that is!<br /><br />Paulie was one of a number of talking animal films released by DreamWorks in the late 90s. And although it wasn't afforded the same recognition or box-office success of Babe, Paulie succeeds on quite a few levels, and is an occasional work of striking intelligence.<br /><br />Jay Mohr's stand-up style of acting is well suited to the part of Paulie. He never plays the part as too smug, even if he is a bit of a smart Aleck. Paulie's worldly, but he is also naive in his way.<br /><br />Because he's lived a rather sheltered life with Marie, when he's taken away, he has to fend for himself for the first time. And when he falls into the hands of different owners, they make promises to Paulie to reunite him with Marie, which he believes. Only for those promises to be broken time and again.<br /><br />Paulie is admittedly a little episodic. It follows the eclectic people Paulie ends up with, and how he slowly gets brought closer and closer to Marie. He first winds up in a pawn shop, where he is adopted by Ivy (Gena Rowlands), a kindly woman who teaches him the meaning of manners. She sympathises with Paulie's situation, and drives an RV across America to find Marie.<br /><br />Paulie is an occasionally very touching film. His scenes with Ivy are some of the best. Wonderful moments of Paulie perched on her shoulder singing Tom Jones numbers. The way she instills in him the need for hope is great, and some of the dialogue is quite well written and even thought-provoking: <br /><br />""There are things in life you put off, because you think you're gonna do them later. But the real thing Ivy taught me is you gotta live like there may not be a later.""<br /><br />The scene where Ivy passes away en route leaving Paulie all alone is a very heart-rending moment. And the sequence where he plucks up the courage to fly for the first time across the Grand Canyon, soaring majestically is such a beautifully composed scene it stays with you for hours after the film's over.<br /><br />Despite the occasional sad moment, there are plenty of laughs to be had. Paulie falls in with a group of performing parrots at a Spanish outdoor restaurant. The animatronic effects here are really excellent as four birds do a perfectly choreographed dance number. And Paulie even gets to have a romance. Which is dashed when he falls in with a petty thief (played by Mohr as well). That may be the only complaint I have. As soon as you get comfortable with one situation, the film then moves Paulie on to another.<br /><br />The scene where Paulie is taught to steal money from ATM machines is funny, but a little disturbing too. I'm amazed DreamWorks were granted the chance to include such a scene in a kids film. And Paulie's diamond robbery is very Mission Impossible. He's caught in the act, and shipped off to the lab for animal testing, where he's remained ever since.<br /><br />The story finally comes full circle at the lab, where Misha vows to help Paulie. Of course they do find Marie. But the final revelation is a scene of such shocking intensity, I was left numb for several minutes. Paulie may never get the longevity Babe has, but I believe its an equally brilliant film. The same laughs. The same flawless effects. And the same surprising intelligence.<br /><br />A minor gem.",positive
"It's astonishing that some people saw this as art. We saw it as a poorly filmed (shaky hand-held camera and all), (generally) badly acted, unscripted mess that seemed more like a high school film project with the kids experimenting in black & white film making. Injecting mounds of poetry in place of a story does not an art film make. When we watched this in the theatre, people were starting to have fits of the giggles (us included) at the endless stupidity of this self-indulgent, meandering mess. And believe me, it does seem endless. Had we finished our candy and popcorn, we too would have walked out of the theatre with the other two dozen people who packed up and left looking for something more interesting to do!",negative
"This film is a brilliant retelling of Shakespeare's classic love story, complete with ""kinky sex, body piercing, and dismemberment"". It does follow the same spirit as all the other Troma movies [except Combat Shock...That sucker was depressing] but it's not only for Troma fans. Anybody who appreciates lowbrow visuals and a hilarious script will without a doubt fall in love with this movie.<br /><br />Don't expect pretentious, artistic-wannabe crap like the version of R&J with Claire Danes and Leo DiCaprio; this one knows its a silly movie and draws its humor from that. The acting is also surprisingly good, and you can just feel Sammy Capulet's pain as he tries to put his brain back into his head.<br /><br />The soundtrack, which contains many original and high-energy bands like The Wesley Willis Fiasco, Supernova, and The Meatmen is also four-star. This movie should be viewed by all, because it remains faithful to the original story while still being jam-packed with Troma's trademark gore/sex humor.",positive
"THE FALCON AND THE SNOWMAN is a superb example of an anti-80s film. While many other films of the decade in general lacked substance, this film is pure substance. There's nothing stylish or fake or superfluous about it. It boasts two superb performances: Timothy Hutton and Sean Penn as lifelong friends Christopher Boyce and Daulton Lee, respectively. Hutton, Penn, and Tom Cruise were a triumvirate of early 80s actors who all looked headed to much bigger and better things (all 3 starred in TAPS). While Penn and Cruise's popularity soared, Hutton has been largely forgotten about, and that's a shame. Actually, Hutton is the first of the 3 to win an Oscar for supporting role in ORDINARY PEOPLE in 1980, but I think his performance in this movie is even more outstanding.<br /><br />Hutton really captures the post-Vietnam war rebelliousness in his character Chris Boyce. A failed seminary school student, Chris has a love-hate relationship with his father, well played by the great character actor Pat Hingle. The scene where Chris quotes the poem his father thought he'd long forgotten is a particularly powerful one.<br /><br />Chris gets job at Dept. of Defense and uses his hatred of U.S. gov't and its foreign policy to sell seemingly useless plans of old projects to the Soviets. He gets his buddy Daulton, a hyper drug-dealing self-server, in on it to be the courier of the project plans on microfilm. While Chris is doing it based on his beliefs, Daulton is doing it strictly for the money. The Soviet liaison is excellently played by David Suchet. Penn and Suchet have a real quirky chemistry and it's a kind of funny set of exchanges between them. But, make no mistake, this film is anything but that. It is a serious character study about pessimism, malaise, paranoia and mistrust.<br /><br />Again, the leads make this film. Hutton delivers a brilliantly understated performance as Chris, a rather smart young man who had so much potential. Penn, as usual, does a tremendous characterization as Daulton, a pathetic loser who acts before he thinks, and most of the time doesn't think at all. The ending of this fact-based film is very saddening on several levels. A truly powerful character study.",positive
"I think its time for Seagal to go quietly into the night. What I have just seen makes all his direct to video releases in the last few years look like his early 90's smash hits in comparison.<br /><br />A secret bio lab is making a new kind of drug that jacks up a human's adrenaline system to the point where they become psychopathic killers or something. Somehow Seagal is supposed to stop the infection or its the end of the world...or something. Seagal also went through hit squads like jellybeans, every time I look up he was commanding a new face so it kinda got hard to follow character development as well I know Steven's athsma prevent him from yelling at the top of his lungs but even so why is he constantly being dubbed by people who sound nothing like him? Usually the films plot and action sequences can save it from being a total waste of time but this was not even close. Like I said, it was more of a horror movie with a lot of blood and shank stabbing rather than straight up fighting. The problem was it wasn't really scary and Seagal looked completely out of place because the infected people were supposed to have speed of light movement yet the 40 year old 280 lb Seagal killed them all singlehandedly? I guess the lone highlight of the movie was the first 20 minutes where the new recruits ask Seagal to come to the strip club with them.<br /><br />2 out of 10",negative
"After reading through many of the reviews, I don't know what movie some people were watching, but clearly it wasn't the same one I saw.<br /><br />This movie is horrible. The acting, primarily Moore's, is just terrible. The woman cannot act. Nice tits, but she just can't act. At no point did she come across as the actual character. Instead, it was spoiled Hollywood actress goes to the beach to play make-believe with the boys.<br /><br />And that's what this movie ultimately is -- Hollywood make-believe. The training sequences are over the top. The politics -- over the top. The political correctness -- over the top. The combat scenes -- you guessed it, over the top. Your mission is to get in and get out without being detected. So what do you do? Why shoot off as many rounds and make as much noise as possible, of course. Oh G.I. Jane, you can be my wing man anytime.<br /><br />The premise is good, but as soon as Hollywood gets a hold of it, we end up with Top Gun with tits.<br /><br />What more is to be expected from commercial US films anymore? Not much I guess.",negative
"Wonderful family film that should be a staple at Christmas time. It's a mystery to me why it isn't. A true lost film that I first encountered, flickering away on my old 19"" black and white RCA, when the Million Dollar Movie was still in vogue on Channel 9 in New York City. This Rudolph Mate directed fantasy should be nestled under everyone's Christmas tree. But it has never been released on home video. Too bad. I believe I saw part of it on AMC a few years ago, before they cut many of their older films from the rotation. TCM should take up the slack and play it at Easter or on Christmas Eve. Any movie with Santa, Aunt Bee, the Hostess Cupcake Lady, and an actor with the first name King, can't be bad. Ann Blyth as ""Sally"" is a bundle of energy. During her school years, she rushes over to the chapel to pray for St. Ann to help and give guidance to her mixed-up and financially strapped family. It works. So, after she graduates, she places a statue of St. Ann in her own bedroom. At one point the entire O'Moyne residence is moved to another address. I think this was done to put an end to a neighbor dispute between the O'Moynes and the dastardly fellow next door. Blyth is cute as a button. Edmund Gwen can play the reclusive grandfather in his sleep. All-in-all, this is a satisfying movie experience.",positive
"I saw the premier of this movie during the 2005 Phoenix Film Festival and was very impressed with the skill Director, Jeff Hare, exhibited in bringing this timely topic to the screen. The cast of characters meshed perfectly and allowed us to examine the issue of a senior wishing to die on ""his own terms"" in a very warm and humorous way. Peter Falk was brilliant as Morris and the supporting group of family members and friends were perfectly cast in their roles. The interaction of the family, friends and outsiders with Morris created a realistic view of how families address the issue of their parents aging and their wishes to die with dignity.<br /><br />Although this movie is ostensibly a movie about a Jewish Actor and his family, it is truly a movie about all families. The jokes the family and Morris crack during this romp through the life of a ""Force of Nature"" are fresh and realistic. Childhood rivalries, adult successes and failures, and hope for the children are integral to this screenplay. While many will question how you can make the topic of suicide ""humorous"", I thought the treatment logical and timely. If you are not afraid to shed a few tears or laugh at the quips of a family struggling with this issue, then you MUST SEE THIS MOVIE.<br /><br />The movie was awarded ""Best Picture"" at the Phoenix Film Festival.",positive
"Mickey Rourke is enjoying a renaissance at the moment... and fair play to him. I always liked his image and his acting ability in such fare as Angel Heart and Johnny Handsome. You know what you are going to get with Rourke - mean, moody, dirty. But this film gives you much more - and you don't want most of it.<br /><br />First and foremost - this whole thing just doesn't make sense. Rourke is a hardened IRA killer who after killing a bus-load of schoolchildren flees Ireland for London. He is on the run from the cops and from his own Army comrades. He has also vowed to never kill again. It looks like the bus full of kids finally did it for him.<br /><br />However, when he gets to London he is tracked down by a local mobster (Bates - looking like his eyebrows and hair came straight off a Burton's dummy) to kill his main competitor in turn for £50,000 and a boat trip to the US. Rourke reluctantly agrees to do it but is seen by a priest (Hoskins) and confesses the crime to him in the confessional in order to keep the priest's mouth shut. He figures it is better than killing him.<br /><br />A wealth of things arise here which just don't add up : 1. Why pick Rourke to off your competition? As is illustrated by a scene whereby an employee is pinned to a wall by a couple of heavies with what look like awls - these London guys are tough enough anyway to do their own killing. 2. Not only that but the Mobster gets a guy to follow Rourke and witness the killing with his own eyes. Why didn't that guy simply kill the competitor and save all the hassle of dealing with Rourke? 3. Hoskins sees the murder take place and the police let him go off - without protection, I may add - to take confession? No way. 4. Rourke hangs around the church (right next to where he carried out the murder ) immediately after the crime takes place to go to confession. Why aren't the cops checking the place out? 5. Rourke hangs around the church and Hoskin's blind niece in particular, for days afterwards without anybody bothering him. What? He's on the run and he stays put by the very place where he committed another murder? Stupid. 6. The cops actually meet Rourke in the church ""fixing"" the organ and have no idea who he is. Do they not know he is on the run for the school bus bombing? They don't even check up on him? 7. Why get Rourke to kill for you, and then tell him to wait around for a few days to get on the boat? You'd think you'd want to get rid of him immediately. Or kill him. One or the other? 8. Why does Bates' brother suddenly decide to rape the blind niece in the midst of all the waiting? Could he not restrain himself for a few days? At least until Rourke has been safely offed to the States? Ridiculous. 9. Rourke suddenly has inner turmoil after all his years of killing and wins over the blind niece immediately - even after she knows he is a killer, she still loves him? Again - utterly ludicrous. And besides - she falls in ""love"" with him in record time - a few days !!!! 10. The whole bomb thing at the end is just plain silly from Bates point of view. 11. Things happen in parts of this film that just do not make sense or are simply in there to help the storyline (and I say that in jest) along. Bates' houses Rourke in a whorehouse until the boat is ready to sail and Rourke suddenly displays a moral high ground to respect the whore in the house - but yet will bed a blind girl. 12. Rourke asks a henchman on the boat where Bates is - and the henchman practically spurts out the entire movements of his boss in less than 10 seconds. It was embarrassing - the guy was telling Rourke far more than he even asked. 13. Hoskin's priest is an ex-army guy and we see him beat up three henchmen behind a pub. Totally uncalled-for and yet another cringe-worthy scene.<br /><br />I'm gonna stop there at unlucky 13 without mentioning Rourke's hair (so falsely red it is laughable), his accent (which to be fair is not too bad sometimes but deteriorates to a barely heard mumble at other times), his clothes, walk, looks to the heavens etc. Nor will I mention the music and the choppy editing style.<br /><br />Oooppps - I have just mentioned them.<br /><br />Overall - a disaster of a film with some obvious religious imagery thrown in (Rourke on the cross, preaching from a pulpit) which would embarrass a first year film student never mind a top star and director.<br /><br />4/10.",negative
"I have never seen a movie that annoyed me that much. It is a movie about stupid people that are doing stupid and terrible things. This is not a funny movie. I must say that the plot line is awful. I did not had patience to watch it so that i only saw half of it, but it was enough for me. The characters are not very inspired. Just terribly annoying. This movie is all about a goofy guy trying to hook up with his tyrannous boss's daughter. When he finally manages to talk to her, she asks him to go at that night at her home to watch her father's owl, and he thinks she had invited him to go with her at a party and to be at her home at 6 pm. He gets to be very disappointed finding out that he only has to take care of the owl and that she has a boyfriend. After her father leaves home leaving precise orders, about taking care of the house and his beloved bird, appears a secretary, a renegaded son and all sort of NOT funny stuff happens in the house. But he finally hooks up with his boss's daughter. TRUST ME THIS MOVIE IS TERRIBLE!!!!!!!!!!!!",negative
"When you go at an open air cinema under the Greek summer night you usually don't care what the movie is! Edison started really good with some good effort from the singers-who-want-to-be actors and a once again great Morgan Freeman but... (In a movie there is usually a good start to catch audience,done, a bit boring yet story filling middle of the movie that is more about characters and less about action ,done, and the third part is something really good so that you can remember the movie...) when you see 30 elite police officers (packed with weapons that can demolish a building) shoot at a guy behind a car, fail to hit him even once while he kills all (but 3) and then the guy takes out a flame thrower (to kill the rest 3) ,you realise that the Greek summer sky filled with stars is way too good to be distracted by a movie like this!",negative
"I usually like hongkong - martial arts - fantasy movies but I hated this one. Once Upon A Time In China, Shogun Assassin, A Chinese Ghost Story and even Big Trouble In Little China are my favorites but this film sucked! Too much fancy tricks and stupid story.<br /><br />4/10",negative
"This has to be the worst movie i've seen this year.. and i watch a lot of cable. The plot is just ridiculous, the scenes are just thrown at you with no action, no start or ending of any scene.. it's just random idiots with make-up that scream in some plane.. The ""special effects"" ( Spielberg would laugh his ass off ) are horrible, the yellow eye contact lenses are cute though.. I have to admin that i couldn't bear to watch it to the end. The scene where the great scientist Bennett was holding for dear life by the engine body was too much for me.. I'm sorry for my bad English.. i am from Romania ( and this is my first post ). I had to sign up just to make a comment on this movie because i just can't believe that this is a movie released in 2007.",negative
"I would reccomend this film to everyone. Not only to the fans of the rocker Luciano Ligabue, but to all film-buffs. Because it's sincere, moving, funny and true. Because Ligabue is a born storyteller and a film lover, and every frame of his film is made with love and care. Because his characters are loved and ask to be loved. Because most of the Italian debut films are lousy and this one, done by an outsider, is a real joy to watch and to listen at. Because Stefano Accorsi is gorgeous and reminds me of Andrea Pazienza, who was, like Freccia, beautiful and talented and good and lost his life because of the heroin, that Ligabue shows as it is, unglamorous and ugly, without indulging in easy moralisms. Because it's a film that speaks to our heart, our ears, our souls. And because I lived the experience of the FM radios and it was exactly like that. Thanks, Luciano!",positive
"It is enjoyable and fast-paced. <br /><br />There is no way on Earth that the actor playing Mat could be eighteen. However, the main thing is that he does act eighteen very convincingly. It must be a credit to his audition that he convinced them to cast him. I quite soon accepted him as being a naive young country boy.<br /><br />While his was the best performance, most of the others were also very engaging. In particular, the interplay between the policemen was natural and well-balanced, and worked very well.<br /><br />It is only about 45 minutes long, so the plot is not complex. More key is the style of the whole thing. It is very slick and vibrant, and the backdrops are atmospheric, especially from the fact that all the colours are extremely rich. The gangland is identifiable to foreign audiences, but still manages to be distinctly Australian.",negative
